file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\global.js,11,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,12,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,23
static\global.js,13,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,14,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,100
static\global.js,15,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,16,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,38
static\global.js,17,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,18,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,11
static\global.js,19,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,2,23
static\global.js,20,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,2,35
static\global.js,21,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,2,36
static\global.js,22,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,2,71
static\global.js,23,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,24,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,25,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,38
static\global.js,26,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,25
static\global.js,27,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,28,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,70
static\global.js,29,js,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\global.js,30,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,23
static\global.js,31,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,21
static\global.js,32,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,25
static\global.js,33,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,37
static\global.js,34,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,51
static\global.js,35,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,27
static\global.js,36,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,6
static\global.js,37,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\global.js,38,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,41
static\global.js,39,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,18
static\global.js,40,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,27
static\global.js,41,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\global.js,42,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,72
static\global.js,43,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,36
static\global.js,44,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,6
static\global.js,45,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\global.js,46,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,35
static\global.js,47,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,44
static\global.js,48,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,6
static\global.js,49,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\global.js,50,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,19
static\global.js,51,js,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,2
src\app.html,1,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,13
src\app.html,2,html,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,14
